ID,Length
A01A_1_078,84
A01A_1_049,29
A04D_1_163,60
A04D_1_164,105
A04D_1_004,57
A04D_1_002,49
A04D_1_145,90
A04D_1_160,120
A04D_1_159,100
A04D_1_136,90
A04D_1_062,60
A04D_1_061,60
A04D_1_104,100
A04D_1_074,61
A04D_1_113,153
A04D_1_057,50
A04D_1_075,60
A04D_1_083,90
A04D_1_053,123
A04D_1_078,70
A04D_1_054,40
A04D_1_147,100
A04D_1_022,108
A04D_1_016,302
A04D_1_148,80
A04D_1_166,75
A04D_1_018,96
A04D_1_005,207
A04D_1_165,82
A04D_1_033,50
A04D_1_140,70
A05A_1_073,65
A05A_1_113,101
A05A_1_116,100
A05A_1_048,47
A05A_1_159,70
A05A_1_164,40
A05A_1_028,63
A05A_1_175,152
A05A_1_188,51
A05A_1_003,91
A05A_1_017,46
A05A_1_189,110
A05A_1_190,99
A05A_1_184,43
A05A_1_027,79
A05A_1_032,102
A05A_1_026,29
A05A_1_152,40
A05A_1_187,91
A05A_1_150,186
A05A_1_018,48
A05A_1_031,52
A05A_1_179,138
A05A_1_182,154
A05A_1_020,44
A05A_1_143,81
A05A_1_124,40
A05A_1_046,156
A05A_1_052,93
A05A_1_126,50
A05A_1_081,112
A05A_1_069,43
A05A_1_083,50
A05A_1_108,60
A05B_1_117,50
A05B_1_042,43
A05B_1_048,90
A05B_1_124,48
A05B_1_088,80
A05B_1_125,60
A05B_1_040,70
A05B_1_093,70
A05B_1_132,40
A05B_1_039,83
A05B_1_080,71
A05B_1_094,43
A05B_1_024,96
A05B_1_151,130
A05B_1_143,100
A05B_1_029,85
A05B_1_022,51
A05B_1_141,70
A05B_1_018,40
A05B_1_155,60
A05B_1_020,135
A05B_1_034,80
A05B_1_005,50
A05B_1_004,40
A05B_1_164,79
A05B_1_156,40
A05B_1_162,64
A05B_1_009,50
A05B_1_026,43
A05B_1_001,66
A05B_1_015,40
A05B_1_161,60
A05B_1_103,100
A05B_1_111,60
A05B_1_105,80
A05B_1_096,90
A05B_1_065,41
A05B_1_071,130
A05B_1_070,70
A05B_1_061,145
A05B_1_086,52
A05B_1_073,48
A05B_1_059,70
A05B_1_058,81
A05C_1_026,198
A05C_1_147,50
A05C_1_031,80
A05C_1_179,92
A05C_1_178,230
A05C_1_018,60
A05C_1_024,80
A05C_1_021,90
A05C_1_023,400
A05C_1_022,90
A05C_1_036,160
A05C_1_080,50
A05C_1_081,50
A05C_1_069,365
A05C_1_112,140
A05C_1_066,40
A05C_1_061,80
A05C_1_158,95
A05C_1_175,240
A05C_1_174,60
A05C_1_148,40
A05C_1_003,190
A05D_1_119,49
A05D_1_118,50
A05D_1_094,87
A05D_1_051,47
A05D_1_130,75
A05D_1_082,80
A05D_1_018,97
A05D_1_006,109
A05D_1_139,80
A05D_1_024,51
A05D_1_144,56
A05D_1_143,80
A05D_1_027,238
A05D_1_021,368
A05D_1_142,60
A05D_1_022,353
A05D_1_016,259
A05D_1_009,33
A05D_1_002,44
A05D_1_113,64
A05D_1_097,41
A05D_1_126,91
A05D_1_046,56
A05D_1_109,60
A05D_1_110,90
A05D_1_064,40
A06A_1_123,46
A06A_1_081,63
A06A_1_080,59
A06A_1_043,51
A06A_1_122,105
A06A_1_134,63
A06A_1_068,80
A06A_1_083,60
A06A_1_082,159
A06A_1_041,59
A06A_1_135,238
A06A_1_078,60
A06A_1_124,61
A06A_1_047,46
A06A_1_154,101
A06A_1_020,68
A06A_1_194,122
A06A_1_023,93
A06A_1_022,362
A06A_1_156,139
A06A_1_026,70
A06A_1_025,90
A06A_1_024,59
A06A_1_018,70
A06A_1_175,52
A06A_1_161,96
A06A_1_203,121
A06A_1_028,40
A06A_1_002,46
A06A_1_003,143
A06A_1_205,46
A06A_1_188,110
A06A_1_204,51
A06A_1_199,61
A06A_1_166,105
A06A_1_206,124
A06A_1_005,85
A06A_1_088,45
A06A_1_115,77
A06B_1_104,62
A06B_1_117,160
A06B_1_088,116
A06B_1_106,166
A06B_1_148,59
A06B_1_149,66
A06B_1_006,124
A06B_1_007,42
A06B_1_005,52
A06B_1_038,47
A06B_1_021,73
A06B_1_022,80
A06B_1_027,44
A06B_1_032,251
A06B_1_140,49
A06B_1_026,86
A06B_1_150,82
A06B_1_025,234
A06B_1_031,34
A06B_1_043,210
A06B_1_135,130
A06B_1_069,260
A06B_1_124,180
A06B_1_078,201
A06B_1_044,138
A06B_1_087,80
A06B_1_092,118
A06B_1_045,60
A06B_1_119,68
A06B_1_047,69
A06B_1_091,100
A06C_1_160,390
A06C_1_165,125
A06C_1_001,70
A06C_1_187,110
A06C_1_198,89
A06C_1_158,80
A06C_1_003,87
A06C_1_076,150
A06C_1_062,150
A06C_1_101,130
A06C_1_074,79
A06C_1_058,50
A06C_1_137,140
A06C_1_103,70
A06C_1_057,40
A06C_1_063,125
A06C_1_065,105
A06C_1_055,180
A06C_1_121,160
A06C_1_122,68
A06C_1_082,130
A06C_1_053,105
A06C_1_049,70
A06C_1_129,229
A06C_1_078,135
A06C_1_050,90
A06C_1_083,78
A06C_1_034,45
A06C_1_195,59
A06C_1_007,83
A06C_1_194,180
A06C_1_156,150
A06C_1_022,40
A06C_1_026,40
A06C_1_025,129
A06C_1_023,159
A06C_1_149,40
A06C_1_186,174
A06C_1_024,49
A06C_1_030,80
A06D_1_064,87
A06D_1_105,68
A06D_1_059,94
A06D_1_071,93
A06D_1_116,81
A06D_1_005,56
A06D_1_029,55
A06D_1_028,118
A06D_1_002,65
A06D_1_003,114
A06D_1_027,101
A06D_1_025,55
A06D_1_030,66
A06D_1_020,53
A06D_1_009,78
A06D_1_022,49
A06D_1_094,91
A06D_1_055,99
A06D_1_056,159
A06D_1_082,84
